"site_id","site_x","site_y","shore_x","shore_y","source_id","distance_m"
8807,317780,550600,307651.852941176,545653.052941176,"D37A7FA2-A0B8-4655-A24F-0B116150F229",11271.7189482332
8839,308122,544142,307987.846270315,544138.419198009,"D17159F3-209A-44DA-8EBC-97CF12BCCAA1",134.201510167244
8853,320020,558380,307651.852941176,545653.052941176,"D37A7FA2-A0B8-4655-A24F-0B116150F229",17746.7248557807
8886,313120,540280,307800.96,541793.98,"D17159F3-209A-44DA-8EBC-97CF12BCCAA1",5530.30939116427
8897,339970,555030,307651.852941176,545653.052941176,"D37A7FA2-A0B8-4655-A24F-0B116150F229",33650.9994719284
8993,319910,548000,307980.61,544362.77,"D17159F3-209A-44DA-8EBC-97CF12BCCAA1",12471.5591585415
8994,317530,541430,307920.033660137,542564.444806946,"D17159F3-209A-44DA-8EBC-97CF12BCCAA1",9676.6945840667
8995,317060,541460,307918.26,542549.42,"D17159F3-209A-44DA-8EBC-97CF12BCCAA1",9206.4241790176
9001,323910,544530,307988.737403579,544105.033143359,"D17159F3-209A-44DA-8EBC-97CF12BCCAA1",15926.9331477668
9002,323740,544630,307987.44,544153.64,"D17159F3-209A-44DA-8EBC-97CF12BCCAA1",15759.7609564105
9024,339820,554470,307651.852941176,545653.052941176,"D37A7FA2-A0B8-4655-A24F-0B116150F229",33354.5835026642
9027,322511,562891,307651.852941176,545653.052941176,"D37A7FA2-A0B8-4655-A24F-0B116150F229",22758.3187014891
9072,318020,547230,307980.61,544362.77,"D17159F3-209A-44DA-8EBC-97CF12BCCAA1",10440.8026245591
9100,331850,559230,307651.852941176,545653.052941176,"D37A7FA2-A0B8-4655-A24F-0B116150F229",27746.780218947
9123,338550,557430,307651.852941176,545653.052941176,"D37A7FA2-A0B8-4655-A24F-0B116150F229",33066.4780963292
9136,336100,558800,307651.852941176,545653.052941176,"D37A7FA2-A0B8-4655-A24F-0B116150F229",31339.101583293
9139,342900,552560,307980.61,544362.77,"D17159F3-209A-44DA-8EBC-97CF12BCCAA1",35868.6266484375
9140,338470,556520,307651.852941176,545653.052941176,"D37A7FA2-A0B8-4655-A24F-0B116150F229",32677.9547480951
9281,346920,550960,307980.61,544362.77,"D17159F3-209A-44DA-8EBC-97CF12BCCAA1",39494.2975281875
9306,344580,559300,307651.852941176,545653.052941176,"D37A7FA2-A0B8-4655-A24F-0B116150F229",39369.1149154313
9313,339680,555830,307651.852941176,545653.052941176,"D37A7FA2-A0B8-4655-A24F-0B116150F229",33606.1371695666
9317,335990,558850,307651.852941176,545653.052941176,"D37A7FA2-A0B8-4655-A24F-0B116150F229",31260.3581297608
9334,338610,554060,307651.852941176,545653.052941176,"D37A7FA2-A0B8-4655-A24F-0B116150F229",32079.3333497691
9335,337960,551170,307980.61,544362.77,"D17159F3-209A-44DA-8EBC-97CF12BCCAA1",30742.5146181148
9391,326740,560070,307651.852941176,545653.052941176,"D37A7FA2-A0B8-4655-A24F-0B116150F229",23920.8219055323
9433,314900,540800,307829.73,541934.46,"D17159F3-209A-44DA-8EBC-97CF12BCCAA1",7160.70648501251
9445,339630,557050,307651.852941176,545653.052941176,"D37A7FA2-A0B8-4655-A24F-0B116150F229",33948.3768621914
9470,339260,555620,307651.852941176,545653.052941176,"D37A7FA2-A0B8-4655-A24F-0B116150F229",33142.3444277198
9482,321250,543500,307998,543713.51,"D17159F3-209A-44DA-8EBC-97CF12BCCAA1",13253.7198748163
9526,341380,553680,307651.852941176,545653.052941176,"D37A7FA2-A0B8-4655-A24F-0B116150F229",34670.1569524394
9533,325510,560350,307651.852941176,545653.052941176,"D37A7FA2-A0B8-4655-A24F-0B116150F229",23128.2007346968
