"source_id","parent_segment_id","decision","segment_id"
"7C0B6849-A033-402F-B1C4-EA256E2F9D96","eaba0d19889c710fae72708764e75699a8c22e03e856467c459fce77adfb3e46","excluded","8a2a2a813eaf871732e2f2b9599d7b7e3e5fb959b8d2d25ad925bd56a5e6ae28"
"7C0B6849-A033-402F-B1C4-EA256E2F9D96","eaba0d19889c710fae72708764e75699a8c22e03e856467c459fce77adfb3e46","retained","cc1f5943cfb1f22213519717baecf8706a58508264325d9bc07310a1285c195d"
"6C75076C-D288-4A17-A515-5BEF6D7246A7","a61abc4d8c20aac1efc879fb57c2f2fdeb8687565c15608be8fd9d8df3bff797","excluded","3b7d39ab5f16b6545f30520471dbc42b083e131584623221a995b5aa7577760a"
"2AE849D8-0CE3-4749-B341-E5816329D96C","fb5ec93ea76fce8d4526dc1501809ad55ba1ee0d68f89ec726fc380dfa205de2","excluded","4118b4a8aefa360bac0f67794bd89da183ebdee6c7833ab737a180a604b71764"
"2AE849D8-0CE3-4749-B341-E5816329D96C","fb5ec93ea76fce8d4526dc1501809ad55ba1ee0d68f89ec726fc380dfa205de2","retained","1479f56b924260cd0eac33d54d266b0de3828f3ef7e3fbc9bf7b8670a258a73b"
"ACA9F850-F447-4F77-B494-A7B327A15B99","a549b04b6eac42c7d701fc3db449c21dc1fb988b8018779895006686b5d91151","retained","e4eec3d5b772a1c5eae00ae0ebea0ba3303e4cddffcbf16318e530b00988759c"
"ACA9F850-F447-4F77-B494-A7B327A15B99","a549b04b6eac42c7d701fc3db449c21dc1fb988b8018779895006686b5d91151","excluded","b61a187b860475b63924dcfc93b9a82143ff268f892861e230a117a736a6ecf6"
"55E5F139-7154-4C38-8D72-7D14E36D843C","3cb91ac308283f3af05d1c992d41c26fe6c456667060247dcebf4143c00c7f07","excluded","65f6174825170040bbf97a404b2fec31e2da12fb3213ccaa4dfbcf232f4fdcc2"
"55E5F139-7154-4C38-8D72-7D14E36D843C","3cb91ac308283f3af05d1c992d41c26fe6c456667060247dcebf4143c00c7f07","retained","0348b5d69ecae686b68b098fd2e3566c8097e4a3fe1e02b403bea813775ae158"
"3B5A46EB-809A-48B1-AF6B-C83F2CEDAD07","bd0194aa468a6c61e823db3c8b56dccdd71c1cf3c0ea5cdf9f20017ff1450c90","excluded","cb2111f2aeddbad3e54b8ac266d2b02c7c5d1ea0d24c8c8a7c7c75e54db680a0"
