"site_id","distance_to_open_coast_m","open_coast_status","nearest_candidate_m","nearest_unresolved_m"
7641,2002.17167501581,"supported_candidate",2002.17167501581,26946.5133929466
9731,1997.5605757273,"supported_candidate",1997.5605757273,10609.3949558486
10513,2002.8877213663,"supported_candidate",2002.8877213663,20217.4293309239
6911,1992.23102197008,"supported_candidate",1992.23102197008,75574.7904969518
6252,1986.3449146611,"supported_candidate",1986.3449146611,37942.2515348632
10004,2014.74715895071,"supported_candidate",2014.74715895071,21322.1652266111
9853,2015.14356672173,"supported_candidate",2015.14356672173,21323.1383138342
8087,2016.20517829906,"supported_candidate",2016.20517829906,21238.0610109625
2088,1983.6022342446,"supported_candidate",1983.6022342446,43542.6710746618
6562,2017.02637246021,"supported_candidate",2017.02637246021,11082.3737469777
2322,2020.35013938179,"supported_candidate",2020.35013938179,46092.4462736936
2252,1979.3590225626,"supported_candidate",1979.3590225626,34085.8374830228
15164,1979.3590225626,"supported_candidate",1979.3590225626,34085.8374830228
13275,1978.37827591187,"supported_candidate",1978.37827591187,89362.7823619153
12743,1978.30324333759,"supported_candidate",1978.30324333759,89256.4132933149
6523,1978.15363490304,"supported_candidate",1978.15363490304,48088.2944250138
2936,2022.30650142358,"supported_candidate",2022.30650142358,83301.7770766655
6297,1974.72582365248,"supported_candidate",1974.72582365248,64005.5715126212
9455,2025.47739661542,"supported_candidate",2025.47739661542,18002.3409436935
1875,1974.10735668048,"supported_candidate",1974.10735668048,23307.9162591146
