"segment_row","max_river_gap_m","max_transitional_gap_m","max_noncoastal_gap_m","water_ids","water_names","segment_id","source_id","min_coastal_gap_m","proposed_exclusion","evidence_url"
2791,10634.907685172,64.386341786898,64.386341786898,"GB205031055495","Whaplode River","0d9ab0425cb26c6f449235f3ff36c061c4f2a6c2ab7e186adf77442d41ea81d8","BB00DAD6-A2F0-44E6-B9C7-B7C584ED12D5",2754.98606764386,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2800,6277.85433736715,83.8733676824384,83.8733676824384,"GB205031055495","Whaplode River","e404827d854238114c00d38d1841ab50a31cc63953001a084295b7ce0f38bd53","F3ED5C75-2DD4-483D-BA86-E3D748BE2A1C",4431.72578103966,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2801,8153.25636884653,108.484273129913,108.484273129913,"GB205031055495","Whaplode River","f2bafe7f957e033ff5b805634180cf8f808faadc6abce7ff49350d56e25492d8","17EC7A48-5F65-4A3E-B8AF-E0CA1D07A409",3692.88345664939,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2802,6615.50604266466,73.0797828047251,73.0797828047251,"GB205031055495","Whaplode River","8dd3f67c0fd78e44935a4c9acbe1342df0ca392f69fdb63987c65fbb88dc543f","79F0DD71-DA72-4C7F-8192-D1423F1A6FB9",4260.03303456852,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2803,6556.08434280667,82.0360664416805,82.0360664416805,"GB205031055495","Whaplode River","59a632c5991c70aa19c6890574a1f0e761405f490ec3e515dfe0a24ac5114671","79F0DD71-DA72-4C7F-8192-D1423F1A6FB9",4352.33397611322,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2811,7181.79530640835,53.8837518636872,53.8837518636872,"GB205030056405","East & West Fen Drains","3a2c59982cc4a0dcdc8522fbfc563be4b5f1ce66619c34c9188cd92dc00fe525","5CA18E94-0B8F-4A27-BD56-1664B77DFE4B",3669.0446327728,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2814,5147.97784694511,142.161286500028,142.161286500028,"GB205031055495","Whaplode River","94cdcdf755014e051f95b6c76205d3fd2a6d742e7a0a3fb2a5b284a8cbc95185","FCA32897-1BFD-43C7-AF72-30D022264700",4596.28186825338,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2815,5114.94747437286,51.3643436659156,51.3643436659156,"GB205030056405","East & West Fen Drains","33487dfe3c6c44a1cc828428c984adda93082a79cbf2911821935f515b60b9e4","FCA32897-1BFD-43C7-AF72-30D022264700",4361.02632079347,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2816,5116.20325235293,53.3446902074535,53.3446902074535,"GB205030056405","East & West Fen Drains","d93d604c840277aff4594c2a2e42062766936432aa10e77246fd4968a09e2b7c","FCA32897-1BFD-43C7-AF72-30D022264700",4360.6037899247,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2817,4926.14849299086,59.2221929775845,59.2221929775845,"GB205030056405","East & West Fen Drains","39fcfeaf82f2e2f23bcaa92fc56985596c42ffc57e193616f2efa4bf88c12c58","FCA32897-1BFD-43C7-AF72-30D022264700",4348.67153811858,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2818,4873.85485313109,79.3615115514182,79.3615115514182,"GB205030056405","East & West Fen Drains","f14e96606aae91d298a6116abf5f68c95bbd0b8b8bac477e03315c26d6f60a88","FCA32897-1BFD-43C7-AF72-30D022264700",4405.30139680237,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2819,4544.76850755731,130.972161516486,130.972161516486,"GB205030056405;GB205031055495","East & West Fen Drains;Whaplode River","f5943fe08de738cf882b455ec2b0199493f489f7093838992614684ad6fa26e9","FCA32897-1BFD-43C7-AF72-30D022264700",4695.07761203036,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2820,3523.91160736618,53.4594999613623,53.4594999613623,"GB205030056405","East & West Fen Drains","8b1a1a17b2db5ec0638ae4d907b9c8420d733765583b6db88ac23b1db0d89872","41C2F4CB-2CA8-4670-8886-2CB5A3C50B15",4697.64362118799,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2821,2412.24738488292,100.067128019172,100.067128019172,"GB205031055545","Kirton Marsh Drain","e5d9b266330228801fb7852b890733918f0e7d76958725bf08a73ec12fba51be","12D465D8-5241-4B3D-8FC8-E2E2EFB18367",5873.10518855181,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2822,2637.34686308669,56.2413086626511,56.2413086626511,"GB205030056405","East & West Fen Drains","512c36113d86d41cefdbb114fdc321bb82f79ee9e3dbb76900f859d69f5e20ad","12D465D8-5241-4B3D-8FC8-E2E2EFB18367",5472.55211904262,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
2823,3329.61825878342,64.4366519300066,64.4366519300066,"GB205031055545","Kirton Marsh Drain","4fa54b0b9ef6996b5de7a9566ed924debe9269e9fe4216667201cb22a28da171","12D465D8-5241-4B3D-8FC8-E2E2EFB18367",5229.77678940362,TRUE,"https://environment.data.gov.uk/dataset/b0dc3be8-3384-423d-af5d-a93934565bc7"
