"specification","market","london","ever_positive","ever_unknown","positive_2021","unknown_2021","n_properties"
"did_articles_prior_salience_groups","sales",FALSE,TRUE,FALSE,FALSE,FALSE,2623
"did_articles_prior_salience_groups","sales",FALSE,TRUE,FALSE,TRUE,FALSE,13024
"did_articles_prior_salience_groups","sales",FALSE,TRUE,TRUE,TRUE,FALSE,30
"did_articles_prior_salience_groups","sales",TRUE,FALSE,FALSE,FALSE,FALSE,5952
"did_articles_prior_salience_groups","sales",TRUE,FALSE,TRUE,FALSE,FALSE,122
"did_articles_prior_salience_groups","rentals",FALSE,FALSE,FALSE,FALSE,FALSE,37467
"did_articles_prior_salience_groups","rentals",FALSE,FALSE,TRUE,FALSE,FALSE,293
"did_articles_prior_salience_groups","rentals",FALSE,TRUE,FALSE,FALSE,FALSE,465
"did_articles_prior_salience_groups","rentals",FALSE,TRUE,FALSE,TRUE,FALSE,2355
"did_articles_prior_salience_groups","rentals",FALSE,TRUE,TRUE,TRUE,FALSE,6
"did_articles_prior_salience_groups","rentals",TRUE,FALSE,FALSE,FALSE,FALSE,5743
"did_articles_prior_salience_groups","rentals",TRUE,FALSE,TRUE,FALSE,FALSE,95
"hedonic_count_continuous_prior_salience_groups","sales",FALSE,FALSE,FALSE,FALSE,FALSE,143752
"hedonic_count_continuous_prior_salience_groups","sales",FALSE,FALSE,TRUE,FALSE,FALSE,933
"hedonic_count_continuous_prior_salience_groups","sales",FALSE,TRUE,FALSE,FALSE,FALSE,2657
"hedonic_count_continuous_prior_salience_groups","sales",FALSE,TRUE,FALSE,TRUE,FALSE,12752
"hedonic_count_continuous_prior_salience_groups","sales",FALSE,TRUE,TRUE,TRUE,FALSE,24
"hedonic_count_continuous_prior_salience_groups","sales",TRUE,FALSE,FALSE,FALSE,FALSE,5967
"hedonic_count_continuous_prior_salience_groups","sales",TRUE,FALSE,TRUE,FALSE,FALSE,107
"hedonic_count_continuous_prior_salience_groups","rentals",FALSE,FALSE,FALSE,FALSE,FALSE,37572
"hedonic_count_continuous_prior_salience_groups","rentals",FALSE,FALSE,TRUE,FALSE,FALSE,231
"hedonic_count_continuous_prior_salience_groups","rentals",FALSE,TRUE,FALSE,FALSE,FALSE,462
"hedonic_count_continuous_prior_salience_groups","rentals",FALSE,TRUE,FALSE,TRUE,FALSE,2317
"hedonic_count_continuous_prior_salience_groups","rentals",FALSE,TRUE,TRUE,TRUE,FALSE,4
"hedonic_count_continuous_prior_salience_groups","rentals",TRUE,FALSE,FALSE,FALSE,FALSE,5761
"hedonic_count_continuous_prior_salience_groups","rentals",TRUE,FALSE,TRUE,FALSE,FALSE,77
