"specification","market","london","nearest","any_site","nearest_bathing","any_bathing","n_properties"
"did_articles_prior_salience_groups","sales",TRUE,"inland","inland",FALSE,FALSE,6074
"did_articles_prior_salience_groups","rentals",FALSE,"coastal","coastal",FALSE,FALSE,534
"did_articles_prior_salience_groups","rentals",FALSE,"coastal","coastal",FALSE,TRUE,9
"did_articles_prior_salience_groups","rentals",FALSE,"coastal","coastal",TRUE,TRUE,1704
"did_articles_prior_salience_groups","rentals",FALSE,"inland","coastal",FALSE,FALSE,2
"did_articles_prior_salience_groups","rentals",FALSE,"inland","inland",FALSE,FALSE,37224
"did_articles_prior_salience_groups","rentals",FALSE,"inland","inland",FALSE,TRUE,34
"did_articles_prior_salience_groups","rentals",FALSE,"inland","inland",TRUE,TRUE,1079
"did_articles_prior_salience_groups","rentals",TRUE,"inland","inland",FALSE,FALSE,5838
"hedonic_count_continuous_prior_salience_groups","sales",FALSE,"coastal","coastal",FALSE,FALSE,3351
"hedonic_count_continuous_prior_salience_groups","sales",FALSE,"coastal","coastal",FALSE,TRUE,58
"hedonic_count_continuous_prior_salience_groups","sales",FALSE,"coastal","coastal",TRUE,TRUE,9228
"hedonic_count_continuous_prior_salience_groups","sales",FALSE,"inland","coastal",FALSE,FALSE,2
"hedonic_count_continuous_prior_salience_groups","sales",FALSE,"inland","coastal",TRUE,TRUE,22
"hedonic_count_continuous_prior_salience_groups","sales",FALSE,"inland","inland",FALSE,FALSE,141088
"hedonic_count_continuous_prior_salience_groups","sales",FALSE,"inland","inland",FALSE,TRUE,186
"hedonic_count_continuous_prior_salience_groups","sales",FALSE,"inland","inland",TRUE,TRUE,6183
"hedonic_count_continuous_prior_salience_groups","sales",TRUE,"inland","inland",FALSE,FALSE,6074
"hedonic_count_continuous_prior_salience_groups","rentals",FALSE,"coastal","coastal",FALSE,FALSE,534
"hedonic_count_continuous_prior_salience_groups","rentals",FALSE,"coastal","coastal",FALSE,TRUE,9
"hedonic_count_continuous_prior_salience_groups","rentals",FALSE,"coastal","coastal",TRUE,TRUE,1704
"hedonic_count_continuous_prior_salience_groups","rentals",FALSE,"inland","coastal",FALSE,FALSE,2
"hedonic_count_continuous_prior_salience_groups","rentals",FALSE,"inland","inland",FALSE,FALSE,37224
"hedonic_count_continuous_prior_salience_groups","rentals",FALSE,"inland","inland",FALSE,TRUE,34
"hedonic_count_continuous_prior_salience_groups","rentals",FALSE,"inland","inland",TRUE,TRUE,1079
"hedonic_count_continuous_prior_salience_groups","rentals",TRUE,"inland","inland",FALSE,FALSE,5838
