"legacy","refined","n_sites","n_both_known","median_legacy_m","median_refined_m","median_change_m"
"inland","inland",10967,10967,24835.2775973723,56932.813476519,27427.9401123641
"coastal","coastal",1096,1096,105.729047387031,458.68910784892,1.3801877154023
"coastal","inland",1904,1904,38.7912003201538,13117.5755976074,12660.3566003912
"inland","coastal",2,2,2017.50815193579,1817.81806747152,-199.690084464265
"unknown","unknown",21,0,NA,NA,NA
