"specification","market","comparison","group","stage","baseline","baseline_n","variant_n","retained","left","entered"
"did_trends_prior_salience_groups","sales","london_excluded","bathing","selected","headline",15677,15677,15677,0,0
"did_trends_prior_salience_groups","sales","london_excluded","bathing","fitted","headline",15630,15630,15630,0,0
"did_trends_prior_salience_groups","sales","london_excluded","coastal","selected","headline",12661,12661,12661,0,0
"did_trends_prior_salience_groups","sales","london_excluded","coastal","fitted","headline",12624,12624,12624,0,0
"did_trends_prior_salience_groups","sales","london_excluded","inland","selected","headline",153531,147457,147457,6074,0
"did_trends_prior_salience_groups","sales","london_excluded","inland","fitted","headline",153091,147025,147025,6066,0
"did_trends_prior_salience_groups","sales","bathing_2021","bathing","selected","headline",15677,13054,13054,2623,0
"did_trends_prior_salience_groups","sales","bathing_2021","bathing","fitted","headline",15630,13012,13012,2618,0
"did_trends_prior_salience_groups","sales","coast_definition","bathing","selected","legacy_london_excluded",15677,15677,15677,0,0
"did_trends_prior_salience_groups","sales","coast_definition","bathing","fitted","legacy_london_excluded",15630,15630,15630,0,0
"did_trends_prior_salience_groups","sales","coast_definition","coastal","selected","legacy_london_excluded",34543,12661,12661,21882,0
"did_trends_prior_salience_groups","sales","coast_definition","coastal","fitted","legacy_london_excluded",34444,12624,12624,21820,0
"did_trends_prior_salience_groups","sales","coast_definition","inland","selected","legacy_london_excluded",125575,147457,125575,0,21882
"did_trends_prior_salience_groups","sales","coast_definition","inland","fitted","legacy_london_excluded",125201,147025,125201,0,21824
"did_trends_prior_salience_groups","rentals","london_excluded","bathing","selected","headline",2826,2826,2826,0,0
"did_trends_prior_salience_groups","rentals","london_excluded","bathing","fitted","headline",2715,2715,2715,0,0
"did_trends_prior_salience_groups","rentals","london_excluded","coastal","selected","headline",2249,2249,2249,0,0
"did_trends_prior_salience_groups","rentals","london_excluded","coastal","fitted","headline",2168,2168,2168,0,0
"did_trends_prior_salience_groups","rentals","london_excluded","inland","selected","headline",44175,38337,38337,5838,0
"did_trends_prior_salience_groups","rentals","london_excluded","inland","fitted","headline",43228,37405,37405,5823,0
"did_trends_prior_salience_groups","rentals","bathing_2021","bathing","selected","headline",2826,2361,2361,465,0
"did_trends_prior_salience_groups","rentals","bathing_2021","bathing","fitted","headline",2715,2260,2260,455,0
"did_trends_prior_salience_groups","rentals","coast_definition","bathing","selected","legacy_london_excluded",2826,2826,2826,0,0
"did_trends_prior_salience_groups","rentals","coast_definition","bathing","fitted","legacy_london_excluded",2715,2715,2715,0,0
"did_trends_prior_salience_groups","rentals","coast_definition","coastal","selected","legacy_london_excluded",8824,2249,2249,6575,0
"did_trends_prior_salience_groups","rentals","coast_definition","coastal","fitted","legacy_london_excluded",8621,2168,2168,6453,0
"did_trends_prior_salience_groups","rentals","coast_definition","inland","selected","legacy_london_excluded",31762,38337,31762,0,6575
"did_trends_prior_salience_groups","rentals","coast_definition","inland","fitted","legacy_london_excluded",30955,37405,30955,0,6450
"did_articles_prior_salience_groups","sales","london_excluded","bathing","selected","headline",15677,15677,15677,0,0
"did_articles_prior_salience_groups","sales","london_excluded","bathing","fitted","headline",15630,15630,15630,0,0
"did_articles_prior_salience_groups","sales","london_excluded","coastal","selected","headline",12661,12661,12661,0,0
"did_articles_prior_salience_groups","sales","london_excluded","coastal","fitted","headline",12624,12624,12624,0,0
"did_articles_prior_salience_groups","sales","london_excluded","inland","selected","headline",153531,147457,147457,6074,0
"did_articles_prior_salience_groups","sales","london_excluded","inland","fitted","headline",153091,147025,147025,6066,0
"did_articles_prior_salience_groups","sales","bathing_2021","bathing","selected","headline",15677,13054,13054,2623,0
"did_articles_prior_salience_groups","sales","bathing_2021","bathing","fitted","headline",15630,13012,13012,2618,0
"did_articles_prior_salience_groups","sales","coast_definition","bathing","selected","legacy_london_excluded",15677,15677,15677,0,0
"did_articles_prior_salience_groups","sales","coast_definition","bathing","fitted","legacy_london_excluded",15630,15630,15630,0,0
"did_articles_prior_salience_groups","sales","coast_definition","coastal","selected","legacy_london_excluded",34543,12661,12661,21882,0
"did_articles_prior_salience_groups","sales","coast_definition","coastal","fitted","legacy_london_excluded",34444,12624,12624,21820,0
"did_articles_prior_salience_groups","sales","coast_definition","inland","selected","legacy_london_excluded",125575,147457,125575,0,21882
"did_articles_prior_salience_groups","sales","coast_definition","inland","fitted","legacy_london_excluded",125201,147025,125201,0,21824
"did_articles_prior_salience_groups","rentals","london_excluded","bathing","selected","headline",2826,2826,2826,0,0
"did_articles_prior_salience_groups","rentals","london_excluded","bathing","fitted","headline",2715,2715,2715,0,0
"did_articles_prior_salience_groups","rentals","london_excluded","coastal","selected","headline",2249,2249,2249,0,0
"did_articles_prior_salience_groups","rentals","london_excluded","coastal","fitted","headline",2168,2168,2168,0,0
"did_articles_prior_salience_groups","rentals","london_excluded","inland","selected","headline",44175,38337,38337,5838,0
