"variant","specification","term","estimate","std_error","conf_low","conf_high","p_value","nobs","market","group","fit_status","reason"
"headline","did_trends_prior_salience_groups","spill_count_weekly_avg",-0.00391918333694554,0.00335555816849643,-0.0104982238618481,0.00265985718795703,0.242899102733176,43228,"rentals","inland","available",NA
"headline","did_trends_prior_salience_groups","spill_count_weekly_avg:post",0.0050958163455134,0.00327479357468112,-0.00132487391126483,0.0115165066022916,0.119780948217367,43228,"rentals","inland","available",NA
"headline","did_articles_prior_salience_groups","spill_count_weekly_avg",-0.00169839328573791,0.0185120968603536,-0.0380501824597532,0.0346533958882774,0.926929310581177,15630,"sales","bathing","available",NA
"headline","did_articles_prior_salience_groups","spill_count_weekly_avg:log_cumulative_articles",-0.00150088516764513,0.00334544291419496,-0.00807025634303964,0.00506848600774938,0.653846321778802,15630,"sales","bathing","available",NA
"headline","did_articles_prior_salience_groups","spill_count_weekly_avg",-0.0158318347772225,0.0200688823648269,-0.0552604316560095,0.0235967621015646,0.430554662616305,12624,"sales","coastal","available",NA
"headline","did_articles_prior_salience_groups","spill_count_weekly_avg:log_cumulative_articles",0.00132309056796219,0.00479313870411112,-0.00809381318945535,0.0107399943253797,0.782631237789748,12624,"sales","coastal","available",NA
"headline","did_articles_prior_salience_groups","spill_count_weekly_avg",0.00695128855451407,0.00578274129998588,-0.00438485611018465,0.0182874332192128,0.229379708248375,153091,"sales","inland","available",NA
"headline","did_articles_prior_salience_groups","spill_count_weekly_avg:log_cumulative_articles",-0.00104824502175664,0.00146921285303872,-0.00392840316497538,0.0018319131214621,0.475579012646463,153091,"sales","inland","available",NA
"headline","did_articles_prior_salience_groups","spill_count_weekly_avg",-0.00899467030171293,0.0264845507492052,-0.061096866832265,0.0431075262288391,0.734361771808407,2715,"rentals","bathing","available",NA
"headline","did_articles_prior_salience_groups","spill_count_weekly_avg:log_cumulative_articles",0.00157594651074635,0.00464511282311388,-0.00756223308339799,0.0107141261048907,0.734624935753357,2715,"rentals","bathing","available",NA
"headline","did_articles_prior_salience_groups","spill_count_weekly_avg",0.000212221805903107,0.0257123751399591,-0.0504197016918704,0.0508441453036766,0.99342094193319,2168,"rentals","coastal","available",NA
"headline","did_articles_prior_salience_groups","spill_count_weekly_avg:log_cumulative_articles",-0.00221831278111378,0.00385131523683153,-0.00980219009216072,0.00536556452993317,0.565123192559108,2168,"rentals","coastal","available",NA
"headline","did_articles_prior_salience_groups","spill_count_weekly_avg",-0.00754636126142994,0.00383412239044857,-0.0150636937937699,-2.90287290899433e-05,0.0491223289525207,43228,"rentals","inland","available",NA
"headline","did_articles_prior_salience_groups","spill_count_weekly_avg:log_cumulative_articles",0.00136225457916148,0.00100633894803317,-0.000610813503238869,0.00333532266156182,0.175927607009646,43228,"rentals","inland","available",NA
"headline","hedonic_count_continuous_prior_salience_groups","spill_count_weekly_avg",-0.023755210662463,0.0124317763283794,-0.0481230449318251,0.000612623606899038,0.0560437412657784,15384,"sales","bathing","available",NA
"headline","hedonic_count_continuous_prior_salience_groups","spill_count_weekly_avg",-0.0204773541444639,0.0128039495345362,-0.0455751475316645,0.00462043924273658,0.109780139228072,12600,"sales","coastal","available",NA
"headline","hedonic_count_continuous_prior_salience_groups","spill_count_weekly_avg",-0.00992041096821268,0.00313672002645995,-0.0160683199346194,-0.00377250200180601,0.00156361138777618,153115,"sales","inland","available",NA
"headline","hedonic_count_continuous_prior_salience_groups","spill_count_weekly_avg",-0.0213836382215573,0.0143179103203299,-0.049460718555888,0.00669344211277338,0.135443824074617,2674,"rentals","bathing","available",NA
"headline","hedonic_count_continuous_prior_salience_groups","spill_count_weekly_avg",-0.0186728163866126,0.0162133245206828,-0.0504706045694948,0.0131249717962695,0.249591031726538,2166,"rentals","coastal","available",NA
"headline","hedonic_count_continuous_prior_salience_groups","spill_count_weekly_avg",-0.0300699669331686,0.00226211030026784,-0.0345037567930316,-0.0256361770733056,3.10383740412425e-40,43230,"rentals","inland","available",NA
