"variant","specification","market","group","n_input","n_before_london_drop","n_after_london_drop","n_estimation","n_outside_all_groups","n_near","n_far","n_near_pre","n_near_post","n_far_pre","n_far_post","fit_status","reason","nobs","n_removed_by_estimator"
"london_excluded","did_trends_prior_salience_groups","sales","bathing",166192,15677,15677,15677,0,NA,NA,NA,NA,NA,NA,"available",NA,15630,47
"london_excluded","did_trends_prior_salience_groups","sales","coastal",166192,12661,12661,12661,0,NA,NA,NA,NA,NA,NA,"available",NA,12624,37
"london_excluded","did_trends_prior_salience_groups","sales","inland",166192,153531,147457,147457,0,NA,NA,NA,NA,NA,NA,"available",NA,147025,432
"london_excluded","did_trends_prior_salience_groups","rentals","bathing",46424,2826,2826,2826,0,NA,NA,NA,NA,NA,NA,"available",NA,2715,111
"london_excluded","did_trends_prior_salience_groups","rentals","coastal",46424,2249,2249,2249,0,NA,NA,NA,NA,NA,NA,"available",NA,2168,81
"london_excluded","did_trends_prior_salience_groups","rentals","inland",46424,44175,38337,38337,0,NA,NA,NA,NA,NA,NA,"available",NA,37405,932
"london_excluded","did_articles_prior_salience_groups","sales","bathing",166192,15677,15677,15677,0,NA,NA,NA,NA,NA,NA,"available",NA,15630,47
"london_excluded","did_articles_prior_salience_groups","sales","coastal",166192,12661,12661,12661,0,NA,NA,NA,NA,NA,NA,"available",NA,12624,37
"london_excluded","did_articles_prior_salience_groups","sales","inland",166192,153531,147457,147457,0,NA,NA,NA,NA,NA,NA,"available",NA,147025,432
"london_excluded","did_articles_prior_salience_groups","rentals","bathing",46424,2826,2826,2826,0,NA,NA,NA,NA,NA,NA,"available",NA,2715,111
"london_excluded","did_articles_prior_salience_groups","rentals","coastal",46424,2249,2249,2249,0,NA,NA,NA,NA,NA,NA,"available",NA,2168,81
"london_excluded","did_articles_prior_salience_groups","rentals","inland",46424,44175,38337,38337,0,NA,NA,NA,NA,NA,NA,"available",NA,37405,932
"london_excluded","hedonic_count_continuous_prior_salience_groups","sales","bathing",166192,15433,15433,15433,0,NA,NA,NA,NA,NA,NA,"available",NA,15384,49
"london_excluded","hedonic_count_continuous_prior_salience_groups","sales","coastal",166192,12637,12637,12637,0,NA,NA,NA,NA,NA,NA,"available",NA,12600,37
"london_excluded","hedonic_count_continuous_prior_salience_groups","sales","inland",166192,153555,147481,147481,0,NA,NA,NA,NA,NA,NA,"available",NA,147049,432
"london_excluded","hedonic_count_continuous_prior_salience_groups","rentals","bathing",46424,2783,2783,2783,0,NA,NA,NA,NA,NA,NA,"available",NA,2674,109
"london_excluded","hedonic_count_continuous_prior_salience_groups","rentals","coastal",46424,2247,2247,2247,0,NA,NA,NA,NA,NA,NA,"available",NA,2166,81
"london_excluded","hedonic_count_continuous_prior_salience_groups","rentals","inland",46424,44177,38339,38339,0,NA,NA,NA,NA,NA,NA,"available",NA,37407,932
"bathing_2021","did_trends_prior_extensive_salience_groups","sales","bathing",1957690,162374,162374,162374,0,55159,107215,25295,29864,49021,58194,"available",NA,162336,38
"bathing_2021","did_trends_prior_extensive_salience_groups","rentals","bathing",549318,36155,36155,36155,0,10804,25351,4881,5923,11675,13676,"available",NA,35950,205
"bathing_2021","did_articles_prior_extensive_salience_groups","sales","bathing",1957690,162374,162374,162374,0,55159,107215,NA,NA,NA,NA,"available",NA,162336,38
"bathing_2021","did_articles_prior_extensive_salience_groups","rentals","bathing",549318,36155,36155,36155,0,10804,25351,NA,NA,NA,NA,"available",NA,35950,205
"bathing_2021","did_trends_prior_salience_groups","sales","bathing",166192,13054,13054,13054,0,NA,NA,NA,NA,NA,NA,"available",NA,13012,42
"bathing_2021","did_trends_prior_salience_groups","rentals","bathing",46424,2361,2361,2361,0,NA,NA,NA,NA,NA,NA,"available",NA,2260,101
"bathing_2021","did_articles_prior_salience_groups","sales","bathing",166192,13054,13054,13054,0,NA,NA,NA,NA,NA,NA,"available",NA,13012,42
"bathing_2021","did_articles_prior_salience_groups","rentals","bathing",46424,2361,2361,2361,0,NA,NA,NA,NA,NA,NA,"available",NA,2260,101
"bathing_2021","hedonic_count_continuous_prior_salience_groups","sales","bathing",166192,12776,12776,12776,0,NA,NA,NA,NA,NA,NA,"available",NA,12732,44
"bathing_2021","hedonic_count_continuous_prior_salience_groups","rentals","bathing",46424,2321,2321,2321,0,NA,NA,NA,NA,NA,NA,"available",NA,2223,98
